id,title,year,tag
170,28 Days Later,2002,watchlist
1562,28 Weeks Later,2007,watchlist
274209,28 Years Later,2025,watchlist
288486,M3GAN 2.0,2025,ignorelist
280050,F1,2025,ignorelist
112213,Superman,2025,ignorelist
